,Timestamp,best_bid_price,best_bid_vol,best_ask_price,best_ask_vol,mid_price,e
0,0,66098.65,0.13498,66098.66,4.76376,66098.655,0
1,1000,66097,1.63155,66097.01,7.93387,66097.005,-8.06885
2,2000,66092,0.06067,66092.01,6.73189,66092.005,-8.36344
3,3000,66091,1.86621,66091.01,6.6527,66091.005,-6.71337
4,4000,66091,4.24887,66091.01,4.90989,66091.005,4.12547
5,5000,66095.4,0.06879,66096,0.40357,66095.7,4.97868
6,6000,66099.99,5.93771,66100,1.19693,66099.995,6.34128
7,7000,66102.71,5.95163,66102.72,1.30221,66102.715,7.14856
8,8000,66102.71,5.36127,66102.72,1.41992,66102.715,-0.70807
9,9000,66102.71,5.32901,66102.72,2.1626,66102.715,-0.77494
10,10000,66102.71,5.23586,66102.72,1.95732,66102.715,0.11213
11,11000,66102.71,5.47933,66102.72,2.82725,66102.715,-0.62646
12,12000,66102.71,4.94542,66102.72,1.23031,66102.715,1.06303
13,13000,66102.71,5.09227,66102.72,0.02793,66102.715,1.34923
14,14000,66113.46,4.30232,66113.47,1.3648,66113.465,4.33025
15,15000,66113.46,5.03433,66113.47,1.35251,66113.465,0.7443
16,16000,66117.99,6.15606,66118,0.67219,66117.995,7.50857
17,17000,66124,5.40638,66124.01,0.98557,66124.005,6.07857
18,18000,66134.9,4.91576,66134.91,1.75563,66134.905,5.90133
19,19000,66134.9,5.20346,66134.91,3.30874,66134.905,-1.26541
20,20000,66134.9,5.55515,66134.91,4.16777,66134.905,-0.50734
21,21000,66134.9,6.06063,66134.91,2.17391,66134.905,2.49934
22,22000,66134.9,5.91298,66134.91,3.09562,66134.905,-1.06936
23,23000,66134.9,7.29596,66134.91,0.04143,66134.905,4.43717
24,24000,66141.07,4.13072,66141.08,4.04457,66141.075,4.17215
25,25000,66141.07,3.09523,66141.08,4.95362,66141.075,-1.94454
26,26000,66136.91,0.30223,66137.55,0.19971,66137.23,-3.29494
27,27000,66122,0.76508,66122.01,8.71734,66122.005,-9.01957
28,28000,66122,3.54752,66122.01,3.84562,66122.005,7.65416
29,29000,66127.99,0.11072,66128,5.68229,66127.995,3.95634
30,30000,66126,1.34561,66126.01,7.83743,66126.005,-7.94815
31,31000,66126,2.4867,66126.01,7.46697,66126.005,1.51155
32,32000,66126,1.35492,66126.01,7.80457,66126.005,-1.46938
33,33000,66126,1.48962,66126.01,8.33955,66126.005,-0.40028
34,34000,66122,0.21691,66122.01,13.93008,66122.005,-15.4197
35,35000,66122,0.43998,66122.01,11.76859,66122.005,2.38456
36,36000,66118.49,0.28891,66118.5,11.24038,66118.495,-11.68036
37,37000,66118.49,1.64532,66118.5,8.61485,66118.495,3.98194
38,38000,66118.49,1.14427,66118.5,10.1606,66118.495,-2.0468
39,39000,66118.49,1.6265,66118.5,9.51627,66118.495,1.12656
40,40000,66118.49,1.20053,66118.5,9.89414,66118.495,-0.80384
41,41000,66118.49,2.0813,66118.5,9.90033,66118.495,0.87458
42,42000,66118.49,2.45629,66118.5,7.49471,66118.495,2.78061
43,43000,66118.49,2.43464,66118.5,5.29777,66118.495,2.17529
44,44000,66118.49,4.757,66118.5,1.87859,66118.495,5.74154
45,45000,66118.49,4.75299,66118.5,1.50993,66118.495,0.36465
46,46000,66120.33,0.63873,66121.57,0.76447,66120.95,2.14866
47,47000,66121.56,6.00764,66121.57,1.97137,66121.565,4.80074
48,48000,66122.91,3.6527,66122.92,8.00E-05,66122.915,5.62407
49,49000,66125.99,6.04928,66126,1.41935,66125.995,6.04936
50,50000,66127.28,6.2173,66127.29,0.55284,66127.285,7.63665
51,51000,66133.76,5.43782,66133.77,2.23215,66133.765,5.99066
52,52000,66133.78,3.83462,66133.79,8.00E-05,66133.785,6.06677
53,53000,66137.99,5.6375,66138,0.36023,66137.995,5.63758
54,54000,66139.26,5.83707,66139.27,2.90215,66139.265,6.1973
55,55000,66139.26,6.26322,66139.27,0.43901,66139.265,2.88929
56,56000,66139.26,6.27573,66139.27,0.99473,66139.265,-0.54321
57,57000,66139.26,6.18532,66139.27,0.17099,66139.265,0.73333
58,58000,66142.05,7.26921,66142.06,0.9798,66142.055,7.4402
59,59000,66142.05,7.96549,66142.06,1.66892,66142.055,0.00716
60,60000,66142.05,7.35737,66142.06,1.01877,66142.055,0.04203
61,61000,66142.05,7.35614,66142.06,1.02281,66142.055,-0.00527
62,62000,66142.05,7.73072,66142.06,1.0328,66142.055,0.36459
63,63000,66153.26,5.01036,66153.27,0.1,66153.265,6.04316
64,64000,66163.84,0.15,66165.3,0.5294,66164.57,0.25
65,65000,66156,0.6017,66156.01,6.97931,66156.005,-7.12931
66,66000,66148.34,0.05192,66148.35,8.37984,66148.345,-8.98154
67,67000,66148.34,1.0159,66148.35,7.68923,66148.345,1.65459
68,68000,66148.34,1.88719,66148.35,7.68984,66148.345,0.87068
69,69000,66148.34,2.90846,66148.35,4.44285,66148.345,4.26826
70,70000,66148.34,4.14968,66148.35,0.66341,66148.345,5.02066
71,71000,66148.34,4.38632,66148.35,1.16884,66148.345,-0.26879
72,72000,66149.58,5.93387,66149.59,0.91024,66149.585,7.10271
73,73000,66149.58,5.94411,66149.59,0.56847,66149.585,0.35201
74,74000,66155.6,2.99053,66155.61,0.51247,66155.605,3.559
75,75000,66158.26,3.94591,66158.27,2.98086,66158.265,4.45838
76,76000,66158.26,5.52607,66158.27,1.25606,66158.265,3.30496
77,77000,66164.26,5.63518,66164.27,0.72445,66164.265,6.89124
78,78000,66164.96,8.00E-05,66165.31,1,66165.135,0.72453
79,79000,66165.3,6.34046,66165.31,2.33433,66165.305,5.00613
80,80000,66165.3,6.60585,66165.31,2.57949,66165.305,0.02023
81,81000,66165.3,6.4261,66165.31,2.29766,66165.305,0.10208
82,82000,66166.54,6.58931,66166.55,0.34024,66166.545,8.88697
83,83000,66166.54,6.73407,66166.55,0.13754,66166.545,0.34746
84,84000,66172.42,8.00E-05,66172.52,0.56936,66172.47,0.13762
85,85000,66172.51,0.90551,66172.76,0.31695,66172.635,1.47487
86,86000,66181.4,5.75971,66181.41,0.31713,66181.405,6.07666
87,87000,66181.4,0.97392,66181.41,6.24977,66181.405,-10.71843
88,88000,66181.4,1.21186,66181.41,7.16468,66181.405,-0.67697
89,89000,66165.29,0.04473,66165.3,8.69601,66165.295,-9.90787
90,90000,66158.27,0.02203,66158.28,8.3251,66158.275,-8.36983
91,91000,66156,0.9303,66156.01,7.0048,66156.005,-7.02683
92,92000,66156,4.19609,66156.01,1.01172,66156.005,9.25887
93,93000,66156,0.18851,66156.01,8.07284,66156.005,-11.0687
94,94000,66150,1.21244,66150.01,7.93764,66150.005,-8.12615
95,95000,66150,1.05478,66150.01,7.81195,66150.005,-0.03197
96,96000,66141.07,0.95043,66141.08,7.30799,66141.075,-8.36277
97,97000,66141.07,0.86605,66141.08,7.45234,66141.075,-0.22873
98,98000,66141.07,0.89419,66141.08,7.75789,66141.075,-0.27741
99,99000,66141.98,6.8529,66141.99,0.40271,66141.985,14.61079
100,100000,66145.99,1.79149,66146,5.16453,66145.995,2.1942
101,101000,66145.99,1.79875,66146,5.16762,66145.995,0.00417
102,102000,66141.36,0.35441,66141.37,11.17192,66141.365,-12.97067
103,103000,66141.07,0.18529,66141.08,9.61081,66141.075,-9.96522
104,104000,66141.07,0.4129,66141.08,10.17227,66141.075,-0.33385
105,105000,66141.07,0.28773,66141.08,10.03739,66141.075,0.00971
106,106000,66141.06,0.29877,66141.07,8.0871,66141.065,-8.37483
107,107000,66141.06,2.1488,66141.07,7.06367,66141.065,2.87346
108,108000,66141.06,0.76446,66141.07,7.71391,66141.065,-2.03458
109,109000,66141.06,1.34364,66141.07,6.67324,66141.065,1.61985
110,110000,66141.06,1.28388,66141.07,7.22645,66141.065,-0.61297
111,111000,66141.06,1.55803,66141.07,6.86579,66141.065,0.63481
112,112000,66141.06,1.50016,66141.07,7.49731,66141.065,-0.68939
113,113000,66141.06,1.46194,66141.07,6.9936,66141.065,0.46549
114,114000,66141.06,1.301,66141.07,6.84368,66141.065,-0.01102
115,115000,66141.06,0.56297,66141.07,7.07127,66141.065,-0.96562
116,116000,66141.06,0.71357,66141.07,7.17006,66141.065,0.05181
117,117000,66141.06,0.41128,66141.07,7.17014,66141.065,-0.30237
118,118000,66138.19,0.00983,66138.42,5.80489,66138.305,-6.21617
119,119000,66134.91,0.55465,66134.92,9.35453,66134.915,-9.36436
120,120000,66125,0.1,66125.01,8.3345,66125.005,-8.88915
121,121000,66120,0.03122,66120.01,9.15556,66120.005,-9.25556
122,122000,66120,2.19154,66120.01,2.78176,66120.005,8.53412
123,123000,66120,2.60276,66120.01,2.42279,66120.005,0.77019
124,124000,66127.27,6.84133,66127.28,0.09984,66127.275,9.26412
125,125000,66127.99,6.20922,66128,1.04498,66127.995,6.30906
126,126000,66131.52,0.12992,66132,0.9051,66131.76,1.1749
127,127000,66132.09,7.13328,66132.1,0.04698,66132.095,8.03838
128,128000,66132.09,7.26842,66132.1,0.05688,66132.095,0.12524
129,129000,66141.71,6.51711,66141.72,0.93084,66141.715,6.57399
130,130000,66140,0.10892,66140.01,8.11303,66140.005,-14.63014
131,131000,66138,0.09469,66138.01,8.89634,66138.005,-9.00526
132,132000,66134.06,0.6169,66134.07,6.17445,66134.065,-6.26914
133,133000,66134.06,0.61896,66134.07,6.17748,66134.065,-0.00097
134,134000,66134.06,2.08772,66134.07,5.37378,66134.065,2.27246
135,135000,66134.06,1.81415,66134.07,5.87306,66134.065,-0.77285
136,136000,66134.06,2.25991,66134.07,5.87139,66134.065,0.44743
137,137000,66134.06,2.5305,66134.07,5.4733,66134.065,0.66868
138,138000,66134.06,3.38947,66134.07,4.63846,66134.065,1.69381
139,139000,66134.06,3.36978,66134.07,4.50214,66134.065,0.11663
140,140000,66134.06,2.19047,66134.07,4.88862,66134.065,-1.56579
141,141000,66134.06,2.31157,66134.07,4.88922,66134.065,0.1205
142,142000,66134.06,3.17213,66134.07,4.49331,66134.065,1.25647
143,143000,66134.06,2.87103,66134.07,3.55249,66134.065,0.63972
144,144000,66134.06,3.62275,66134.07,4.14715,66134.065,0.15706
145,145000,66134.06,1.10578,66134.07,6.07583,66134.065,-4.44565
146,146000,66134.06,2.46059,66134.07,4.09777,66134.065,3.33287
147,147000,66134.06,2.42199,66134.07,6.1087,66134.065,-2.04953
148,148000,66134.06,2.41766,66134.07,6.5741,66134.065,-0.46973
149,149000,66134.06,1.44405,66134.07,6.92383,66134.065,-1.32334
150,150000,66120,0.31934,66120.01,8.48476,66120.005,-9.92881
151,151000,66118.63,0.5756,66118.64,7.9707,66118.635,-8.29004
152,152000,66118.63,0.0756,66118.64,8.83407,66118.635,-1.36337
153,153000,66110.6,0.30008,66110.61,8.48009,66110.605,-8.55569
154,154000,66110.6,4.13121,66110.61,1.92251,66110.605,10.38871
155,155000,66110.6,5.25724,66110.61,2.23043,66110.605,0.81811
156,156000,66110.6,5.35776,66110.61,1.4912,66110.605,0.83975
157,157000,66110.6,5.37907,66110.61,1.484,66110.605,0.02851
158,158000,66114.78,0.12992,66115.22,0.73825,66115,1.61392
159,159000,66118.62,0.13576,66118.64,1.01223,66118.63,0.87401
160,160000,66118.63,5.06493,66118.64,3.69509,66118.635,2.38207
161,161000,66118.63,5.50617,66118.64,2.3875,66118.635,1.74883
162,162000,66118.63,2.67697,66118.64,5.23228,66118.635,-5.67398
163,163000,66109.39,0.19834,66109.4,8.84076,66109.395,-11.51773
164,164000,66109.39,4.28927,66109.4,2.41767,66109.395,10.51402
165,165000,66109.39,4.03259,66109.4,2.98211,66109.395,-0.82112
166,166000,66109.39,4.02709,66109.4,2.96186,66109.395,0.01475
167,167000,66109.39,3.87468,66109.4,2.96625,66109.395,-0.1568
168,168000,66109.39,3.72233,66109.4,2.86542,66109.395,-0.05152
169,169000,66109.39,2.5559,66109.4,4.61963,66109.395,-2.92064
170,170000,66109.39,3.10037,66109.4,3.31041,66109.395,1.85369
171,171000,66109.39,3.09659,66109.4,3.07698,66109.395,0.22965
172,172000,66109.39,3.32956,66109.4,3.01409,66109.395,0.29586
173,173000,66109.39,2.72609,66109.4,4.36655,66109.395,-1.95593
174,174000,66109.39,2.78363,66109.4,3.49674,66109.395,0.92735
175,175000,66109.39,2.53114,66109.4,4.77876,66109.395,-1.53451
176,176000,66109.39,2.659,66109.4,4.78105,66109.395,0.12557
177,177000,66109.39,2.45781,66109.4,4.77877,66109.395,-0.19891
178,178000,66109.39,2.48275,66109.4,4.79985,66109.395,0.00386
179,179000,66109.39,0.2795,66109.4,6.73631,66109.395,-4.13971
180,180000,66108.63,0.0213,66108.64,10.12451,66108.635,-10.40401
181,181000,66108.03,0.0012,66108.04,0.09,66108.035,-0.1113
182,182000,66108,0.06921,66108.01,12.05424,66108.005,-12.05544
183,183000,66108,0.14536,66108.01,11.9745,66108.005,0.15589
184,184000,66103.28,0.99732,66103.29,7.7375,66103.285,-7.88286
185,185000,66103.28,0.53011,66103.29,9.92641,66103.285,-2.65612
186,186000,66103.28,1.02444,66103.29,8.09586,66103.285,2.32488
187,187000,66098,5.1155,66098.01,1.13451,66098.005,-2.15895
188,188000,66098,5.08063,66098.01,1.19682,66098.005,-0.09718
189,189000,66103.28,7.80212,66103.29,0.09451,66103.285,8.99894
190,190000,66113.99,5.97223,66114,0.98712,66113.995,6.06674
191,191000,66104.66,0.40238,66104.67,10.43152,66104.665,-16.40375
192,192000,66104.66,2.64412,66104.67,5.07119,66104.665,7.60207
193,193000,66096,0.2463,66096.01,7.87068,66096.005,-10.5148
194,194000,66096,0.56224,66096.01,10.79204,66096.005,-2.60542
195,195000,66096,1.3977,66096.01,9.79018,66096.005,1.83732
196,196000,66096,0.5303,66096.01,6.17377,66096.005,2.74901
197,197000,66096,1.03846,66096.01,6.65544,66096.005,0.02649
198,198000,66092,0.32579,66092.01,12.20115,66092.005,-13.23961
199,199000,66092,1.13859,66092.01,10.52886,66092.005,2.48509
200,200000,66092,0.38388,66092.01,12.41937,66092.005,-2.64522
201,201000,66092,0.38336,66092.01,11.94419,66092.005,0.47466
202,202000,66092,0.20563,66092.01,12.59985,66092.005,-0.83339
203,203000,66081.09,0.00012,66081.1,1.16584,66081.095,-1.37147
204,204000,66055.24,0.1434,66057.47,0.04987,66056.355,-0.04999
205,205000,66069.62,6.919,66069.63,0.30254,66069.625,6.96887
206,206000,66091.96,3.54625,66091.97,2.19139,66091.965,3.84879
207,207000,66099.89,0.23778,66100,1.82393,66099.945,2.42917
208,208000,66099.99,5.55663,66100,2.45629,66099.995,4.92427
209,209000,66107.58,3.27162,66107.59,0.91534,66107.585,5.72791
210,210000,66110.22,0.35777,66110.3,0.78101,66110.26,1.27311
211,211000,66112.99,5.71574,66113,3.28036,66112.995,6.49675
212,212000,66127.98,2.49597,66127.99,1.80398,66127.985,5.77633
213,213000,66127.98,2.81973,66127.99,1.52431,66127.985,0.60343
214,214000,66128.94,0.0346,66130,0.40755,66129.47,1.55891
215,215000,66129.99,5.77774,66130,1.59578,66129.995,4.58951
216,216000,66129.99,6.0365,66130,0.32313,66129.995,1.53141
217,217000,66133.84,0.2812,66134,0.0763,66133.92,0.60433
218,218000,66139.99,5.76361,66140,0.03878,66139.995,5.83991
219,219000,66140.66,0.56194,66141.08,0.33393,66140.87,0.60072
220,220000,66145.98,0.28109,66146,0.15298,66145.99,0.61502
221,221000,66159.99,5.0062,66160,0.49056,66159.995,5.15918
222,222000,66161.62,4.71717,66161.63,2.78338,66161.625,5.20773
223,223000,66161.62,5.01904,66161.63,1.19799,66161.625,1.88726
224,224000,66161.62,4.81711,66161.63,2.62098,66161.625,-1.62492
225,225000,66161.62,5.13429,66161.63,2.23745,66161.625,0.70071
226,226000,66161.62,5.30907,66161.63,1.91544,66161.625,0.49679
227,227000,66156.48,0.0056,66156.49,5.24068,66156.485,-10.54975
228,228000,66154.96,1.46066,66154.97,7.60532,66154.965,-7.61092
229,229000,66154.96,1.50264,66154.97,7.04795,66154.965,0.59935
230,230000,66154.96,1.55746,66154.97,7.04342,66154.965,0.05935
231,231000,66154.96,0.86425,66154.97,6.90526,66154.965,-0.55505
232,232000,66154.96,0.71757,66154.97,7.12018,66154.965,-0.3616
233,233000,66154.96,0.65066,66154.97,7.40898,66154.965,-0.35571
234,234000,66154.96,1.80003,66154.97,7.40155,66154.965,1.1568
235,235000,66154.96,0.38365,66154.97,8.01232,66154.965,-2.02715
236,236000,66148.01,0.1571,66148.02,5.13999,66148.015,-5.52364
237,237000,66133.43,0.35112,66133.44,8.04348,66133.435,-8.20058
238,238000,66132.81,0.15794,66132.82,9.08535,66132.815,-9.43647
239,239000,66137.99,6.41096,66138,0.27676,66137.995,15.49631
240,240000,66142.17,0.46236,66142.19,1.39978,66142.18,0.73912
241,241000,66152.15,2.89737,66152.16,1.64195,66152.155,4.29715
242,242000,66152.15,1.68744,66152.16,4.78284,66152.155,-4.35082
243,243000,66152.15,2.47921,66152.16,3.87693,66152.155,1.69768
244,244000,66152.15,1.05983,66152.16,6.21774,66152.155,-3.76019
245,245000,66152.15,1.21302,66152.16,6.75773,66152.155,-0.3868
246,246000,66152.15,0.83517,66152.16,6.60653,66152.155,-0.22665
247,247000,66152.15,1.34714,66152.16,6.60785,66152.155,0.51065
248,248000,66152.14,0.00984,66152.15,5.8452,66152.145,-7.19234
249,249000,66148,0.20211,66148.01,8.33748,66148.005,-8.34732
250,250000,66148,0.24979,66148.01,8.54051,66148.005,-0.15535
251,251000,66146,0.0763,66146.01,5.46478,66146.005,-5.71457
252,252000,66140,1.32754,66140.01,7.07935,66140.005,-7.15565
253,253000,66141.84,0.13,66142,2.60723,66141.92,7.20935
254,254000,66141.99,6.19694,66142,2.64067,66141.995,6.1635
255,255000,66141.99,6.19686,66142,2.98096,66141.995,-0.34037
256,256000,66141.99,4.74537,66142,4.34246,66141.995,-2.81299
257,257000,66141.99,4.61396,66142,5.05155,66141.995,-0.8405
258,258000,66141.99,3.46503,66142,5.04694,66141.995,-1.14432
259,259000,66141.99,3.48882,66142,5.04611,66141.995,0.02462
260,260000,66141.99,4.30559,66142,3.13953,66141.995,2.72335
261,261000,66141.99,4.79777,66142,1.66628,66141.995,1.96543
262,262000,66141.99,3.19409,66142,1.94113,66141.995,-1.87853
263,263000,66141.99,2.41678,66142,5.45588,66141.995,-4.29206
264,264000,66141.99,2.3859,66142,6.13511,66141.995,-0.71011
265,265000,66141.99,3.96454,66142,0.67029,66141.995,7.04346
266,266000,66141.99,1.56999,66142,6.14824,66141.995,-7.8725
267,267000,66141.99,0.36845,66142,8.39667,66141.995,-3.44997
268,268000,66141.99,0.84303,66142,7.93995,66141.995,0.9313
269,269000,66132.82,3.08189,66132.83,10.18347,66132.825,-11.0265
270,270000,66132.82,2.42547,66132.83,11.18299,66132.825,-1.65594
271,271000,66127.91,0.50681,66127.92,5.65547,66127.915,-8.08094
272,272000,66127.91,0.66523,66127.92,5.6331,66127.915,0.18079
273,273000,66127.91,0.40523,66127.92,6.82259,66127.915,-1.44949
274,274000,66127.91,3.31863,66127.92,4.15692,66127.915,5.57907
275,275000,66127.91,2.18462,66127.92,5.74956,66127.915,-2.72665
276,276000,66127.91,2.74539,66127.92,5.09994,66127.915,1.21039
277,277000,66127.91,2.46332,66127.92,5.74871,66127.915,-0.93084
278,278000,66127.91,1.22362,66127.92,6.73669,66127.915,-2.22768
279,279000,66127.91,3.52933,66127.92,5.04285,66127.915,3.99955
280,280000,66127.91,3.55052,66127.92,5.04337,66127.915,0.02067
281,281000,66127.91,3.53799,66127.92,5.99113,66127.915,-0.96029
282,282000,66127.91,3.63822,66127.92,5.90852,66127.915,0.18284
